period,dt.name,m.name,rq.name,names,n_papers
2021-2025,Panel/Longitudinal Surveys,Rank‐based Measures,"Policy, Institutional, and Geographic Impacts","[Panel/Longitudinal Surveys, Rank‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2021-2025,Linked Administrative Data,Rank‐based Measures,"Policy, Institutional, and Geographic Impacts","[Linked Administrative Data, Rank‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2021-2025,National Survey Data,Rank‐based Measures,"Policy, Institutional, and Geographic Impacts","[National Survey Data, Rank‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2021-2025,Opportunity Atlas,Rank‐based Measures,"Policy, Institutional, and Geographic Impacts","[Opportunity Atlas, Rank‐based Measures, Policy, Institutional, and Geographic Impacts]",0
2021-2025,Panel/Longitudinal Surveys,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Panel/Longitudinal Surveys, Regression‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2021-2025,Linked Administrative Data,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Regression‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2021-2025,Linked Administrative Data,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[Linked Administrative Data, Transition Matrix / Probability Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2021-2025,National Survey Data,Rank‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)","[National Survey Data, Rank‐based Measures, Demographic Differences in Mobility (Race, Gender, etc.)]",0
2021-2025,Others_DataType,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Others_DataType, Absolute Mobility Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Linked Administrative Data,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Linked Administrative Data, Absolute Mobility Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Others_DataType,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Others_DataType, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Panel/Longitudinal Surveys,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Opportunity Atlas,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Opportunity Atlas, Regression‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Others_DataType,Rank‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Others_DataType, Rank‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Panel/Longitudinal Surveys,Rank‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Panel/Longitudinal Surveys, Rank‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
2021-2025,Linked Administrative Data,Rank‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[Linked Administrative Data, Rank‐based Measures, Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)]",0
