from_type,from_val,to_type,to_val,weight
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,2012,3
Year,2014,Measure,Others,3
Year,2011,Measure,Others,3
DataType,International Panel Data,Measure,Others,3
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Others,3
Year,2019,Measure,Others,3
Year,2005,RqType,Theoretical and Structural Models,3
Year,1998,RqType,Theoretical and Structural Models,3
Year,2002,RqType,Theoretical and Structural Models,3
DataType,Natural/Experimental Data,RqType,Theoretical and Structural Models,3
Year,2017,RqType,Theoretical and Structural Models,3
DataType,Big Data,Year,2017,2
DataType,Opportunity Atlas,Year,2017,2
RqType,Perceptions of Mobility and Attitudes,Year,2017,2
Measure,Non‐parametric Approaches,Year,2017,2
DataType,Archival/Historical Data,Year,2017,2
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2017,2
Measure,Multigenerational Measures,Year,2017,2
DataType,Opportunity Atlas,Measure,Absolute Mobility Measures,2
RqType,Theoretical and Structural Models,Measure,Absolute Mobility Measures,2
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Absolute Mobility Measures,2
RqType,Perceptions of Mobility and Attitudes,Measure,Absolute Mobility Measures,2
Year,2016,Measure,Absolute Mobility Measures,2
Type,theoretical,Measure,Absolute Mobility Measures,2
Measure,Non‐parametric Approaches,Measure,Absolute Mobility Measures,2
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Absolute Mobility Measures,2
Year,2017,Measure,Absolute Mobility Measures,2
Measure,Multigenerational Measures,Measure,Absolute Mobility Measures,2
DataType,International Panel Data,Measure,Absolute Mobility Measures,2
RqType,Others,DataType,Linked Administrative Data,2
Year,2009,DataType,Linked Administrative Data,2
Year,2010,DataType,Linked Administrative Data,2
DataType,Opportunity Atlas,RqType,Intergenerational Wealth Mobility and Inheritance,2
Year,2003,RqType,Intergenerational Wealth Mobility and Inheritance,2
DataType,Pseudo-Panel/Household Budget Survey,Type,empirical,2
Year,1999,Type,empirical,2
Year,2015,Year,1998,2
Year,2006,Year,1998,2
Type,theoretical,Year,1998,2
Year,2013,Year,1998,2
DataType,Administrative/Registry Data,Year,1998,2
Year,2005,Year,1998,2
Year,1992,Measure,Regression‐based Measures,2
Year,2000,Measure,Regression‐based Measures,2
DataType,Pseudo-Panel/Household Budget Survey,Measure,Regression‐based Measures,2
Year,1992,DataType,No dataset,2
Year,2000,DataType,No dataset,2
Year,2000,RqType,Empirical Estimates and Determinants,2
DataType,Pseudo-Panel/Household Budget Survey,RqType,Empirical Estimates and Determinants,2
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",RqType,Empirical Estimates and Determinants,2
Year,2003,RqType,Empirical Estimates and Determinants,2
Year,1998,Type,Not_specified,2
DataType,International Panel Data,Type,Not_specified,2
Year,2005,Type,Not_specified,2
Year,2008,Type,Not_specified,2
Year,2012,Type,Not_specified,2
Year,2010,Type,Not_specified,2
Year,2013,Year,1980,2
RqType,Measurement and Methodological Advances,Year,1980,2
Year,1998,Year,1980,2
Year,2008,Year,1980,2
Year,2011,Year,1980,2
DataType,No dataset,Year,1980,2
RqType,Theoretical and Structural Models,Year,2009,2
Measure,Non‐parametric Approaches,Year,2009,2
DataType,Others,Year,2009,2
Year,2003,Measure,Transition Matrix / Probability Measures,2
RqType,Others,DataType,Panel/Longitudinal Surveys,2
Year,1999,DataType,Panel/Longitudinal Surveys,2
DataType,Opportunity Atlas,DataType,Panel/Longitudinal Surveys,2
Year,2014,RqType,Measurement and Methodological Advances,2
Year,2013,RqType,Measurement and Methodological Advances,2
Year,2015,RqType,Measurement and Methodological Advances,2
Measure,Multigenerational Measures,Year,2020,2
DataType,University/Institution Data,Year,2020,2
DataType,Natural/Experimental Data,Year,2020,2
DataType,National Survey Data,Year,2020,2
Measure,Transition Matrix / Probability Measures,Year,2020,2
Year,2018,DataType,Others,2
Year,2015,DataType,Others,2
RqType,Theoretical and Structural Models,Year,2016,2
Measure,Multigenerational Measures,Year,2016,2
DataType,Archival/Historical Data,Year,2016,2
Year,2015,Year,2016,2
DataType,National Survey Data,Year,2024,2
DataType,Others,Year,2024,2
RqType,"Policy, Institutional, and Geographic Impacts",Year,2024,2
Measure,Transition Matrix / Probability Measures,Year,2024,2
Year,2025,Year,2024,2
Measure,Others,Year,2012,2
DataType,International Panel Data,Year,2012,2
Year,2011,Year,2012,2
Measure,Non‐parametric Approaches,Measure,Others,2
Measure,Multigenerational Measures,Measure,Others,2
RqType,Theoretical and Structural Models,Measure,Others,2
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Measure,Others,2
Year,2015,Measure,Others,2
Year,2009,RqType,Theoretical and Structural Models,2
Measure,Multigenerational Measures,RqType,Theoretical and Structural Models,2
RqType,Others,RqType,Theoretical and Structural Models,2
Year,2025,Year,2019,2
DataType,International Panel Data,Year,2019,2
DataType,Archival/Historical Data,Year,2019,2
RqType,Perceptions of Mobility and Attitudes,Year,2019,2
DataType,Pseudo-Panel/Household Budget Survey,DataType,National Survey Data,2
DataType,Others,DataType,National Survey Data,2
RqType,Others,DataType,National Survey Data,2
DataType,Archival/Historical Data,DataType,National Survey Data,2
Measure,Non‐parametric Approaches,DataType,National Survey Data,2
RqType,Perceptions of Mobility and Attitudes,DataType,National Survey Data,2
Type,Not_specified,Year,2006,2
Year,2007,Year,2006,2
Year,2023,Year,2006,2
Year,2009,Year,2006,2
Year,2018,Year,2006,2
DataType,Big Data,Year,2022,2
RqType,Theoretical and Structural Models,Year,2022,2
Measure,Decomposition / Structural Approaches,Year,2022,2
RqType,"Policy, Institutional, and Geographic Impacts",Year,2022,2
Year,2021,Year,2022,2
DataType,National Survey Data,Year,2022,2
Year,2023,DataType,Big Data,2
Measure,Multigenerational Measures,Year,2005,2
Type,theoretical,Year,2005,2
Year,2003,DataType,Administrative/Registry Data,2
Year,2010,DataType,Administrative/Registry Data,2
DataType,Big Data,DataType,Administrative/Registry Data,2
Year,2025,DataType,Administrative/Registry Data,2
DataType,University/Institution Data,DataType,Administrative/Registry Data,2
Measure,Non‐parametric Approaches,RqType,"Policy, Institutional, and Geographic Impacts",2
Year,2018,RqType,"Policy, Institutional, and Geographic Impacts",2
DataType,Natural/Experimental Data,Year,2002,2
Year,2003,Year,2002,2
Measure,Multigenerational Measures,Year,2002,2
Measure,Regression‐based Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
RqType,Empirical Estimates and Determinants,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
Year,2023,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
DataType,Others,Year,2013,2
Year,2017,Year,2018,2
Measure,Non‐parametric Approaches,Year,2018,2
Type,empirical,DataType,Opportunity Atlas,2
RqType,Empirical Estimates and Determinants,DataType,Opportunity Atlas,2
DataType,Big Data,Measure,Decomposition / Structural Approaches,2
Year,2009,Measure,Decomposition / Structural Approaches,2
Year,2008,Measure,Decomposition / Structural Approaches,2
DataType,Archival/Historical Data,Measure,Decomposition / Structural Approaches,2
Measure,Multigenerational Measures,Measure,Decomposition / Structural Approaches,2
RqType,Others,Measure,Decomposition / Structural Approaches,2
DataType,Big Data,Year,2014,2
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,2014,2
Year,2013,Year,2014,2
DataType,Others,DataType,International Panel Data,2
Year,2013,DataType,International Panel Data,2
DataType,Natural/Experimental Data,DataType,International Panel Data,2
RqType,Measurement and Methodological Advances,Year,2008,2
Type,theoretical,Year,2008,2
Year,2024,Year,2008,2
RqType,"Policy, Institutional, and Geographic Impacts",Year,2008,2
DataType,Linked Administrative Data,Year,2008,2
Year,2023,Year,2008,2
Year,2012,Year,2008,2
Year,2022,Year,2008,2
DataType,Big Data,Measure,Rank‐based Measures,2
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Rank‐based Measures,2
Year,2012,Measure,Rank‐based Measures,2
RqType,Intergenerational Wealth Mobility and Inheritance,Measure,Multigenerational Measures,2
Measure,Regression‐based Measures,Measure,Multigenerational Measures,2
DataType,Archival/Historical Data,Measure,Multigenerational Measures,2
Year,2024,Measure,Multigenerational Measures,2
Type,theoretical,Year,2015,2
DataType,National Survey Data,Year,2015,2
RqType,Measurement and Methodological Advances,RqType,Perceptions of Mobility and Attitudes,2
DataType,Others,RqType,Perceptions of Mobility and Attitudes,2
Year,2024,RqType,Perceptions of Mobility and Attitudes,2
Measure,Rank‐based Measures,RqType,Perceptions of Mobility and Attitudes,2
DataType,National Survey Data,RqType,Perceptions of Mobility and Attitudes,2
Measure,Others,DataType,Archival/Historical Data,2
Measure,Decomposition / Structural Approaches,DataType,Archival/Historical Data,2
Year,2022,DataType,Archival/Historical Data,2
Type,theoretical,DataType,Archival/Historical Data,2
DataType,Panel/Longitudinal Surveys,DataType,Archival/Historical Data,2
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Archival/Historical Data,2
Year,2018,Year,2007,2
Measure,Multigenerational Measures,Year,2007,2
Year,2010,Year,2007,2
Year,2008,Year,2007,2
RqType,"Policy, Institutional, and Geographic Impacts",Year,2007,2
Year,2018,Measure,Non‐parametric Approaches,2
Measure,Transition Matrix / Probability Measures,Measure,Non‐parametric Approaches,2
Measure,Decomposition / Structural Approaches,Measure,Non‐parametric Approaches,2
DataType,Others,Measure,Non‐parametric Approaches,2
Type,Not_specified,Measure,Non‐parametric Approaches,2
Measure,Absolute Mobility Measures,Measure,Non‐parametric Approaches,2
Year,2022,Measure,Non‐parametric Approaches,2
Year,2020,Year,2003,2
Year,2008,Year,2003,2
Year,2011,Year,2003,2
Measure,Non‐parametric Approaches,Year,2003,2
RqType,Measurement and Methodological Advances,Year,2003,2
RqType,Empirical Estimates and Determinants,Year,1986,2
DataType,National Survey Data,Year,1986,2
Year,2021,Year,1986,2
RqType,Others,Year,2011,2
Year,2003,Year,2000,2
RqType,Measurement and Methodological Advances,Year,2000,2
Year,2007,Year,2000,2
Year,2008,Year,2000,2
Type,theoretical,Year,2000,2
RqType,"Policy, Institutional, and Geographic Impacts",Year,2000,2
DataType,Others,Year,2000,2
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,2010,2
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2010,2
DataType,Opportunity Atlas,Year,2010,2
Type,Not_specified,Year,1992,2
Year,2006,Year,1992,2
DataType,National Survey Data,Year,1992,2
Year,2008,Year,1992,2
RqType,Measurement and Methodological Advances,Year,1992,2
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,1992,2
Year,2002,Year,1992,2
Year,2015,Year,1992,2
Year,2007,Year,1992,2
Measure,Non‐parametric Approaches,Year,1992,2
Year,1992,Year,1979,2
Year,2009,Year,1979,2
DataType,Natural/Experimental Data,Year,1979,2
DataType,Opportunity Atlas,Year,1979,2
Measure,Multigenerational Measures,Year,1979,2
Year,2005,Year,1990,2
Measure,Others,Year,1990,2
Year,2014,Year,1990,2
Year,2007,Year,1990,2
Year,1998,Year,1990,2
Measure,Transition Matrix / Probability Measures,Year,1990,2
Year,2018,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
Year,2012,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
Year,2011,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
RqType,Theoretical and Structural Models,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
Year,2013,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
Year,2017,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
DataType,Big Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2
Year,2010,Year,1999,2
Year,2005,Year,1999,2
Year,2002,Year,1999,2
Year,2007,Year,1999,2
DataType,Archival/Historical Data,Year,1999,2
Measure,Others,Year,1999,2
Year,2021,Year,1999,2
Year,2024,Year,1999,2
DataType,Archival/Historical Data,Year,2011,1
DataType,Opportunity Atlas,Year,2011,1
DataType,Natural/Experimental Data,Year,2011,1
Year,2009,Year,2000,1
Measure,Others,Year,2000,1
DataType,International Panel Data,Year,2000,1
Year,2014,Year,2000,1
Year,2005,Year,2000,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2000,1
Year,2002,Year,2000,1
Year,2013,Year,2000,1
Year,2021,Year,2000,1
Measure,Rank‐based Measures,Year,2000,1
Year,2012,Year,2010,1
RqType,Perceptions of Mobility and Attitudes,Year,2010,1
Year,2025,Year,2010,1
Year,2017,Year,2010,1
Measure,Others,Year,2010,1
Year,2021,Year,2010,1
Year,2018,Year,2010,1
Measure,Non‐parametric Approaches,Year,2010,1
Year,2016,Year,1992,1
Measure,Absolute Mobility Measures,Year,1992,1
Year,2011,Year,1992,1
Year,2000,Year,1992,1
Measure,Others,Year,1992,1
Type,theoretical,Year,1992,1
Year,2017,Year,1992,1
Year,2018,Year,1992,1
Measure,Rank‐based Measures,Year,1992,1
Year,2019,Year,1992,1
Year,1999,Year,1992,1
Year,2023,Year,1992,1
Year,1981,Year,1979,1
Year,1980,Year,1979,1
Year,2008,Year,1979,1
Year,1995,Year,1979,1
Year,1997,Year,1979,1
RqType,Perceptions of Mobility and Attitudes,Year,1979,1
DataType,University/Institution Data,Year,1979,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,1979,1
RqType,Others,Year,1979,1
DataType,Big Data,Year,1979,1
Year,2025,Year,1979,1
Type,Not_specified,Year,1990,1
Year,2013,Year,1990,1
RqType,Measurement and Methodological Advances,Year,1990,1
Year,2006,Year,1990,1
Measure,Absolute Mobility Measures,Year,1990,1
Year,2002,Year,1990,1
Measure,Non‐parametric Approaches,Year,1990,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,1990,1
Year,2008,Year,1990,1
Year,2017,Year,1990,1
Year,2020,Year,1990,1
Measure,Decomposition / Structural Approaches,Year,1990,1
Year,1999,Year,1990,1
Year,2022,Year,1990,1
Year,2023,Year,1990,1
Year,2010,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",1
DataType,University/Institution Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",1
Year,2025,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",1
DataType,Natural/Experimental Data,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",1
Type,empirical,Year,1997,1
RqType,Empirical Estimates and Determinants,Year,1997,1
Year,2020,Year,1997,1
Measure,Others,Year,1997,1
DataType,Administrative/Registry Data,Year,1997,1
Measure,Decomposition / Structural Approaches,Year,1997,1
DataType,Linked Administrative Data,DataType,University/Institution Data,1
Type,empirical,DataType,University/Institution Data,1
Year,2024,DataType,University/Institution Data,1
Measure,Others,DataType,University/Institution Data,1
RqType,"Policy, Institutional, and Geographic Impacts",DataType,University/Institution Data,1
Year,2009,Year,1999,1
RqType,Theoretical and Structural Models,Year,1999,1
Year,2017,Year,1999,1
Type,Not_specified,Year,1999,1
Year,1980,Type,theoretical,1
Year,1992,Type,theoretical,1
Year,1995,Type,theoretical,1
Year,1997,Type,theoretical,1
DataType,University/Institution Data,Type,theoretical,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Type,theoretical,1
DataType,Big Data,Type,theoretical,1
Year,2025,Type,theoretical,1
Year,2003,Type,theoretical,1
Year,2000,Type,theoretical,1
DataType,No dataset,Year,2021,1
Type,Not_specified,Year,2021,1
DataType,Natural/Experimental Data,Year,2021,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2021,1
Year,2020,Year,2021,1
DataType,International Panel Data,Year,2021,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,2019,1
Measure,Multigenerational Measures,Year,2019,1
DataType,Natural/Experimental Data,Year,2019,1
Year,2015,Year,2019,1
Year,2025,DataType,National Survey Data,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,National Survey Data,1
DataType,Opportunity Atlas,DataType,National Survey Data,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DataType,National Survey Data,1
DataType,Pseudo-Panel/Household Budget Survey,Year,2006,1
DataType,University/Institution Data,Year,2006,1
Type,theoretical,Year,2006,1
RqType,Others,Year,2006,1
Year,2025,Year,2006,1
Measure,Multigenerational Measures,Year,2006,1
Measure,Transition Matrix / Probability Measures,Year,2022,1
Measure,Multigenerational Measures,Year,2022,1
DataType,Archival/Historical Data,Year,2022,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2022,1
DataType,International Panel Data,Year,2022,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,2022,1
DataType,Linked Administrative Data,DataType,Big Data,1
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Big Data,1
DataType,Panel/Longitudinal Surveys,DataType,Big Data,1
Measure,Rank‐based Measures,DataType,Big Data,1
Year,2024,DataType,Big Data,1
DataType,Administrative/Registry Data,DataType,Big Data,1
Year,2025,DataType,Big Data,1
DataType,Natural/Experimental Data,Year,2005,1
Year,1998,DataType,Administrative/Registry Data,1
Year,1992,DataType,Administrative/Registry Data,1
Year,1981,DataType,Administrative/Registry Data,1
Year,2005,DataType,Administrative/Registry Data,1
Year,2002,DataType,Administrative/Registry Data,1
DataType,Natural/Experimental Data,DataType,Administrative/Registry Data,1
Year,2016,RqType,"Policy, Institutional, and Geographic Impacts",1
Year,2017,RqType,"Policy, Institutional, and Geographic Impacts",1
DataType,University/Institution Data,RqType,"Policy, Institutional, and Geographic Impacts",1
RqType,Intergenerational Wealth Mobility and Inheritance,DataType,Natural/Experimental Data,1
Year,2019,DataType,Natural/Experimental Data,1
Measure,Transition Matrix / Probability Measures,DataType,Natural/Experimental Data,1
Year,2021,DataType,Natural/Experimental Data,1
RqType,"Policy, Institutional, and Geographic Impacts",DataType,Natural/Experimental Data,1
RqType,Empirical Estimates and Determinants,DataType,Natural/Experimental Data,1
Year,2022,DataType,Natural/Experimental Data,1
DataType,Others,Year,2002,1
RqType,Others,Year,2002,1
Measure,Transition Matrix / Probability Measures,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
RqType,Measurement and Methodological Advances,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
Year,2024,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
Measure,Others,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
DataType,Administrative/Registry Data,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
DataType,Pseudo-Panel/Household Budget Survey,Year,2013,1
DataType,Big Data,Year,2013,1
RqType,Perceptions of Mobility and Attitudes,Year,2013,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2013,1
DataType,Natural/Experimental Data,Year,2013,1
DataType,Opportunity Atlas,Year,2013,1
Year,2025,Year,2013,1
Year,2010,Year,2013,1
Year,2014,Year,2018,1
DataType,Others,Year,2018,1
Measure,Multigenerational Measures,Year,2018,1
DataType,Opportunity Atlas,Year,2018,1
Year,2012,Year,2018,1
RqType,Perceptions of Mobility and Attitudes,Year,2018,1
Measure,Regression‐based Measures,DataType,Opportunity Atlas,1
DataType,Big Data,DataType,Opportunity Atlas,1
Year,2025,DataType,Opportunity Atlas,1
DataType,Panel/Longitudinal Surveys,DataType,Opportunity Atlas,1
Measure,Rank‐based Measures,DataType,Opportunity Atlas,1
Year,2023,DataType,Opportunity Atlas,1
Year,1980,Measure,Decomposition / Structural Approaches,1
Year,1992,Measure,Decomposition / Structural Approaches,1
Year,1995,Measure,Decomposition / Structural Approaches,1
Year,1997,Measure,Decomposition / Structural Approaches,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Measure,Decomposition / Structural Approaches,1
Year,2025,Measure,Decomposition / Structural Approaches,1
Year,2000,Measure,Decomposition / Structural Approaches,1
DataType,Pseudo-Panel/Household Budget Survey,Year,2014,1
Year,2011,DataType,International Panel Data,1
DataType,Big Data,DataType,International Panel Data,1
RqType,Perceptions of Mobility and Attitudes,DataType,International Panel Data,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,International Panel Data,1
DataType,Opportunity Atlas,DataType,International Panel Data,1
Year,2025,DataType,International Panel Data,1
Year,2010,Year,2008,1
Year,2005,Year,2008,1
Type,Not_specified,Year,2008,1
Measure,Others,Year,2008,1
RqType,Theoretical and Structural Models,Year,2008,1
Measure,Transition Matrix / Probability Measures,Year,2008,1
DataType,Archival/Historical Data,Year,2008,1
Year,2020,Year,2008,1
Measure,Rank‐based Measures,Year,2008,1
Year,2014,Year,2008,1
Year,2007,Measure,Rank‐based Measures,1
Year,2008,Measure,Rank‐based Measures,1
Year,2010,Measure,Rank‐based Measures,1
Year,2009,Measure,Rank‐based Measures,1
Year,2019,Measure,Multigenerational Measures,1
RqType,Empirical Estimates and Determinants,Measure,Multigenerational Measures,1
DataType,National Survey Data,Measure,Multigenerational Measures,1
Measure,Transition Matrix / Probability Measures,Year,2015,1
RqType,"Policy, Institutional, and Geographic Impacts",Year,2015,1
DataType,International Panel Data,Year,2015,1
DataType,Archival/Historical Data,Year,2015,1
DataType,University/Institution Data,Year,2015,1
Type,empirical,DataType,Pseudo-Panel/Household Budget Survey,1
Measure,Regression‐based Measures,DataType,Pseudo-Panel/Household Budget Survey,1
RqType,Empirical Estimates and Determinants,DataType,Pseudo-Panel/Household Budget Survey,1
DataType,National Survey Data,DataType,Pseudo-Panel/Household Budget Survey,1
Year,2018,DataType,Pseudo-Panel/Household Budget Survey,1
Year,2020,RqType,Perceptions of Mobility and Attitudes,1
Measure,Others,RqType,Perceptions of Mobility and Attitudes,1
Year,2022,RqType,Perceptions of Mobility and Attitudes,1
Measure,Decomposition / Structural Approaches,RqType,Perceptions of Mobility and Attitudes,1
RqType,Measurement and Methodological Advances,DataType,Archival/Historical Data,1
Year,2017,DataType,Archival/Historical Data,1
RqType,Theoretical and Structural Models,DataType,Archival/Historical Data,1
Measure,Transition Matrix / Probability Measures,DataType,Archival/Historical Data,1
Year,2008,DataType,Archival/Historical Data,1
Year,2014,DataType,Archival/Historical Data,1
Year,2011,DataType,Archival/Historical Data,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",DataType,Archival/Historical Data,1
Year,2012,DataType,Archival/Historical Data,1
RqType,Perceptions of Mobility and Attitudes,DataType,Archival/Historical Data,1
DataType,Big Data,DataType,Archival/Historical Data,1
Year,2025,DataType,Archival/Historical Data,1
Type,Not_specified,Year,2007,1
Measure,Absolute Mobility Measures,Year,2007,1
Measure,Non‐parametric Approaches,Year,2007,1
DataType,National Survey Data,Year,2023,1
DataType,Others,Year,2023,1
DataType,International Panel Data,Year,2023,1
RqType,"Policy, Institutional, and Geographic Impacts",Year,2023,1
Year,2021,Year,2023,1
Year,2009,Measure,Non‐parametric Approaches,1
Year,2006,Measure,Non‐parametric Approaches,1
RqType,"Policy, Institutional, and Geographic Impacts",Measure,Non‐parametric Approaches,1
Year,2014,Measure,Non‐parametric Approaches,1
DataType,Archival/Historical Data,Measure,Non‐parametric Approaches,1
Type,theoretical,Measure,Non‐parametric Approaches,1
Year,2015,Measure,Non‐parametric Approaches,1
Year,2017,Measure,Non‐parametric Approaches,1
DataType,Linked Administrative Data,Measure,Non‐parametric Approaches,1
Year,2023,Measure,Non‐parametric Approaches,1
Year,2024,Measure,Non‐parametric Approaches,1
Year,2018,Year,2003,1
Year,2006,Year,2003,1
Measure,Absolute Mobility Measures,Year,2003,1
DataType,Administrative/Registry Data,Year,2003,1
Year,2005,Year,2003,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,2003,1
Type,Not_specified,Year,2003,1
Year,2015,Year,2003,1
Year,2017,Year,2003,1
DataType,International Panel Data,Year,2003,1
Measure,Rank‐based Measures,Year,2003,1
Year,2019,Year,1986,1
DataType,Others,Year,1986,1
RqType,Intergenerational Wealth Mobility and Inheritance,Year,1986,1
RqType,Theoretical and Structural Models,Year,2017,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Year,2017,1
Year,2016,Year,2017,1
DataType,Natural/Experimental Data,Year,2017,1
DataType,International Panel Data,Year,2017,1
Year,2025,Year,2017,1
DataType,University/Institution Data,Year,2017,1
DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,1
DataType,Natural/Experimental Data,Measure,Absolute Mobility Measures,1
DataType,University/Institution Data,Measure,Absolute Mobility Measures,1
Year,1998,Measure,Absolute Mobility Measures,1
Year,2015,Measure,Absolute Mobility Measures,1
DataType,Pseudo-Panel/Household Budget Survey,DataType,Linked Administrative Data,1
Year,2003,DataType,Linked Administrative Data,1
DataType,Pseudo-Panel/Household Budget Survey,RqType,Intergenerational Wealth Mobility and Inheritance,1
Year,1998,RqType,Intergenerational Wealth Mobility and Inheritance,1
Year,1992,RqType,Intergenerational Wealth Mobility and Inheritance,1
Year,1981,RqType,Intergenerational Wealth Mobility and Inheritance,1
DataType,University/Institution Data,RqType,Intergenerational Wealth Mobility and Inheritance,1
Year,2000,Type,empirical,1
Year,1992,Type,empirical,1
Year,1981,Type,empirical,1
Year,2018,Year,1998,1
RqType,Measurement and Methodological Advances,Year,1998,1
Measure,Rank‐based Measures,Year,1998,1
Measure,Absolute Mobility Measures,Year,1998,1
RqType,Theoretical and Structural Models,Year,1998,1
Measure,Decomposition / Structural Approaches,Year,1998,1
Year,2009,Year,1998,1
Year,2012,Year,1998,1
RqType,Others,Year,1998,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,1998,1
Year,1990,Measure,Regression‐based Measures,1
Year,1981,Measure,Regression‐based Measures,1
Year,1990,DataType,No dataset,1
Year,1999,DataType,No dataset,1
Year,1980,DataType,No dataset,1
Year,1995,DataType,No dataset,1
Year,1997,DataType,No dataset,1
RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",DataType,No dataset,1
DataType,Big Data,DataType,No dataset,1
Year,2003,DataType,No dataset,1
Year,1992,RqType,Empirical Estimates and Determinants,1
Year,1990,RqType,Empirical Estimates and Determinants,1
Year,2006,Type,Not_specified,1
Year,1992,Type,Not_specified,1
Year,1990,Type,Not_specified,1
Year,2009,Type,Not_specified,1
Year,2000,Type,Not_specified,1
Year,1999,Type,Not_specified,1
RqType,Others,Type,Not_specified,1
DataType,Big Data,Type,Not_specified,1
Year,2007,Type,Not_specified,1
DataType,Pseudo-Panel/Household Budget Survey,Type,Not_specified,1
RqType,Perceptions of Mobility and Attitudes,Type,Not_specified,1
DataType,University/Institution Data,Type,Not_specified,1
Type,theoretical,Type,Not_specified,1
Year,2006,Year,1980,1
Type,Not_specified,Year,1980,1
Measure,Others,Year,1980,1
Year,2020,Year,1980,1
Year,2016,Year,1980,1
Year,1992,Year,1980,1
Year,1990,Year,1980,1
Year,2014,Year,1980,1
Year,2009,Year,1980,1
DataType,International Panel Data,Year,1980,1
Year,2000,Year,1980,1
Year,2005,Year,1980,1
RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",Year,1980,1
Year,2015,Year,1980,1
RqType,"Policy, Institutional, and Geographic Impacts",Year,1980,1
Year,2018,Year,1980,1
Measure,Rank‐based Measures,Year,1980,1
Year,1999,Year,1980,1
Year,2023,Year,1980,1
Year,2022,Year,1980,1
Year,2012,Year,1980,1
RqType,Others,Year,1980,1
Year,2007,Year,2009,1
DataType,Opportunity Atlas,Year,2009,1
DataType,University/Institution Data,Year,2009,1
RqType,Perceptions of Mobility and Attitudes,Year,2009,1
Measure,Multigenerational Measures,Year,2009,1
RqType,Others,Year,2009,1
DataType,Natural/Experimental Data,Year,2009,1
